session_date,hours_total
2020-09-15,2
2020-09-17,1
2020-09-18,2
2020-09-19,1
2020-09-22,2
2020-09-23,1
2020-09-24,3
2020-09-25,2
2020-09-27,1
2020-09-28,1
2020-09-30,1
2020-10-01,4
2020-10-02,2
2020-10-04,1
2020-10-08,2
2020-10-09,3
2020-10-19,2
2020-10-20,1
2020-10-21,2
2020-10-22,4
2020-10-23,4
2020-10-25,2
2020-10-27,1
2020-10-29,3
2020-10-30,5
2020-10-31,1
2020-11-01,2
2020-11-04,1
2020-11-05,1
2020-11-06,2
2020-11-08,2
2020-11-12,2
2020-11-16,1
2020-11-17,2
2020-11-19,2
2020-11-20,3
2020-11-26,2
2020-11-27,3
2020-11-29,1
2020-12-10,1
2020-12-14,1
2020-12-16,1
2020-12-18,1
2020-12-26,1
2020-12-28,1
2020-12-30,1
2021-01-02,1
2021-01-08,1
2021-01-11,1
2021-01-14,2
2021-01-18,1
2021-01-22,1
2021-01-23,1
2021-01-26,1
2021-01-28,2
2021-01-29,1
2021-01-31,1
2021-02-01,1
2021-02-02,2
2021-02-04,1
2021-02-05,1
2021-02-08,1
2021-02-09,1
2021-02-12,1
2021-02-13,1
2021-02-14,1
2021-02-15,1
2021-02-18,1
2021-02-20,1
2021-02-22,1
2021-02-24,1
2021-02-26,2
2021-02-27,1
2021-03-01,1
2021-03-05,1
2021-03-06,1
2021-03-09,2
2021-03-12,1
2021-03-20,1
2021-03-22,1
2021-03-24,1
2021-03-26,1
2021-03-27,1
2021-03-29,1
2021-03-30,2
2021-04-03,1
2021-04-07,1
2021-04-10,2
2021-04-13,1
2021-04-17,1
2021-04-19,1
2021-04-21,1
2021-04-23,2
2021-04-24,1
2021-04-26,1
2021-04-28,1
2021-04-29,1
2021-05-01,1
2021-05-03,2
2021-05-09,1
2021-05-10,1
2021-05-12,1
2021-05-14,2
2021-05-15,1
2021-05-20,2
2021-05-21,2
2021-05-22,1
2021-05-23,2
2021-05-24,3
2021-05-26,2
2021-05-29,2
2021-06-01,1
2021-06-02,1
2021-06-03,1
2021-06-06,1
2021-06-08,1
2021-06-13,2
2021-06-16,2
2021-06-20,1
2021-06-21,1
2021-06-22,1
2021-06-23,1
2021-06-24,1
2021-06-26,1
2021-06-27,1
2021-06-28,1
2021-07-02,1
2021-07-03,1
