class_id,week,subject,satisfaction,academic_support,instructor_clarity,instructor_engagement,instructor_knowledge
1,1,excel,4.05,4.33,3.62,3.72,3.82
1,2,vba,4.03,4.38,3.92,4.1,4.28
1,3,python,4.17,4.51,4.23,4.26,4.49
1,4,pandas,4.15,4.38,4.35,4.41,4.59
1,5,matplotlib,4.64,4.7,4.61,4.52,4.58
1,6,apis,4.03,4.41,4.19,4.41,4.5
1,7,sql,4.57,4.5,4.43,4.57,4.57
1,8,etl,4.16,4.48,4.26,4.39,4.52
1,9,flask,4.34,4.45,4.38,4.38,4.55
1,10,webscraping,4.23,4.48,4.35,4.45,4.55
1,11,javascript,4.38,4.59,4.55,4.52,4.59
1,12,d3js,4.23,4.43,4.4,4.4,4.6
1,13,geojson,4.38,4.41,4.38,4.45,4.55
1,14,tableau,4.63,4.63,4.6,4.47,4.53
1,15,statistics,4.29,4.46,4.46,4.46,4.46
1,16,pyspark,4.45,4.59,4.38,4.55,4.62
1,17,ml_supervised,4.36,4.5,4.54,4.5,4.5
1,18,ml_unsupervised,4.36,4.39,4.46,4.54,4.57
1,19,neural_network,4.32,4.37,4.32,4.32,4.42
1,20,final_projects,4.53,4.73,4.67,4.67,4.87
2,1,excel,4.05,4.33,3.62,3.72,3.82
2,2,vba,,,,,
2,3,python,,,,,
2,4,pandas,,,,,
2,5,matplotlib,,,,,
2,6,apis,,,,,
2,7,sql,,,,,
2,8,etl,,,,,
2,9,flask,,,,,
2,10,webscraping,,,,,
2,11,javascript,,,,,
2,12,d3js,,,,,
2,13,geojson,,,,,
2,14,tableau,,,,,
2,15,statistics,,,,,
2,16,pyspark,,,,,
2,17,ml_supervised,,,,,
2,18,ml_unsupervised,,,,,
2,19,neural_network,,,,,
2,20,final_projects,,,,,
