student_id,session_year,session_month,session_day,session_start,primary_topic
1,2020,9,15,14,NODE_JS
2,2020,9,15,17,GIT
3,2020,9,17,19,JAVASCRIPT
4,2020,9,18,22,GIT
5,2020,9,18,23,SQL
6,2020,9,19,5,JQUERY
3,2020,9,22,18,JQUERY
4,2020,9,22,22,JAVASCRIPT
7,2020,9,23,21,CSS
8,2020,9,24,13,OOP
1,2020,9,24,14,OOP
2,2020,9,24,17,JAVASCRIPT
9,2020,9,25,7,GIT
10,2020,9,25,13,API
11,2020,9,27,5,SQL
12,2020,9,28,8,SQL
7,2020,9,30,21,JAVASCRIPT
13,2020,10,1,13,REACT
3,2020,10,1,20,API
2,2020,10,1,21,JQUERY
15,2020,10,1,23,MVC
10,2020,10,2,15,SQL
17,2020,10,2,19,COMP_SCI
11,2020,10,4,5,SEQUELIZE
8,2020,10,8,14,COMP_SCI
13,2020,10,8,17,MONGO_DB
9,2020,10,9,19,API
10,2020,10,9,13,SEQUELIZE
18,2020,10,9,19,REDUX
16,2020,10,19,5,REDUX
12,2020,10,19,8,SEQUELIZE
2,2020,10,20,17,API
7,2020,10,21,15,API
20,2020,10,21,17,PWA
13,2020,10,22,18,PWA
3,2020,10,22,20,SQL
19,2020,10,22,21,MVC
2,2020,10,22,22,SQL
10,2020,10,23,12,NODE_JS
17,2020,10,23,17,MONGO_DB
18,2020,10,23,20,REDUX
9,2020,10,23,22,SQL
11,2020,10,25,5,NODE_JS
4,2020,10,25,22,SQL
3,2020,10,27,23,REACT
15,2020,10,29,13,COMP_SCI
13,2020,10,29,17,COMP_SCI
7,2020,10,29,19,PWA
10,2020,10,30,13,PWA
18,2020,10,30,15,AUTHENTICATION
9,2020,10,30,17,SEQUELIZE
17,2020,10,30,18,REACT
6,2020,10,30,20,API
20,2020,10,31,7,REACT
11,2020,11,1,6,PWA
4,2020,11,1,13,SEQUELIZE
15,2020,11,4,21,MONGO_DB
13,2020,11,5,8,PWA
6,2020,11,6,21,NODE_JS
20,2020,11,6,22,REDUX
4,2020,11,8,10,MVC
11,2020,11,8,21,REACT
15,2020,11,12,7,PWA
13,2020,11,12,13,PWA
1,2020,11,16,15,REDUX
2,2020,11,17,17,SEQUELIZE
4,2020,11,17,19,COMP_SCI
17,2020,11,19,20,REACT_NATIVE
10,2020,11,19,14,REDUX
20,2020,11,20,21,GRAPHQL
6,2020,11,20,21,PWA
8,2020,11,20,23,GRAPHQL
17,2020,11,26,5,REACT_NATIVE
10,2020,11,26,13,GRAPHQL
20,2020,11,27,7,GRAPHQL
6,2020,11,27,13,REACT
8,2020,11,27,17,REACT_NATIVE
4,2020,11,29,9,PWA
21,2020,12,9,12,VBA
4,2020,12,10,5,REACT_NATIVE
22,2020,12,11,14,VBA
23,2020,12,14,15,JAVASCRIPT
24,2020,12,16,16,HTML
25,2020,12,18,8,GIT
25,2020,12,26,20,JAVASCRIPT
24,2020,12,28,20,HTML
24,2020,12,30,16,JAVASCRIPT
25,2021,1,2,20,JAVASCRIPT
30,2021,1,8,7,VBA
25,2021,1,8,8,JAVASCRIPT
29,2021,1,9,7,VBA
22,2021,1,9,9,VBA
30,2021,1,11,12,PYTHON
24,2021,1,11,20,JAVASCRIPT
24,2021,1,14,15,NODE_JS
25,2021,1,14,20,JQUERY
29,2021,1,16,9,PYTHON
24,2021,1,18,20,NODE_JS
30,2021,1,22,7,PANDAS
25,2021,1,22,20,JAVASCRIPT
24,2021,1,23,20,CSS
29,2021,1,24,6,PANDAS
24,2021,1,26,15,MVC
24,2021,1,28,17,GIT
26,2021,1,28,19,GIT
31,2021,1,29,14,GIT
25,2021,1,29,20,API
29,2021,1,31,17,PANDAS
24,2021,1,31,22,SEQUELIZE
30,2021,2,1,9,MATPLOTLIB
24,2021,2,1,21,GIT
24,2021,2,2,8,SQL
24,2021,2,2,22,NODE_JS
26,2021,2,4,19,NODE_JS
25,2021,2,5,20,COMP_SCI
29,2021,2,6,9,ETL
31,2021,2,7,5,API
26,2021,2,8,16,API
24,2021,2,9,15,MONGO_DB
25,2021,2,12,20,NODE_JS
24,2021,2,13,11,CSS
29,2021,2,14,16,ETL
26,2021,2,14,20,JQUERY
24,2021,2,15,21,REACT
30,2021,2,16,8,ETL
25,2021,2,18,20,NODE_JS
31,2021,2,20,13,ETL
29,2021,2,20,17,ETL
24,2021,2,20,21,REACT
24,2021,2,22,20,GIT
24,2021,2,24,9,AWS
24,2021,2,26,9,MONGO_DB
26,2021,2,26,20,COMP_SCI
29,2021,2,27,17,FLASK
25,2021,2,27,20,NODE_JS
24,2021,3,1,20,MONGO_DB
30,2021,3,5,9,WEBSCRAPING
33,2021,3,5,19,D3_JS
24,2021,3,5,10,CSS
31,2021,3,6,11,WEBSCRAPING
29,2021,3,6,17,WEBSCRAPING
25,2021,3,6,20,SQL
34,2021,3,9,18,STATISTICS
26,2021,3,9,17,COMP_SCI
