university_id,university_name,country
1,University of California Los Angeles,US
2,University of Central Florida,US
3,University of Sydney,AU
4,Northwestern University,US
5,Ohio State University,US
6,University of California Irvine,US
7,University of Texas at Austin,US
8,University of California Berkeley,US
9,University of California San Diego,US
10,Denver University,US
11,University of Toronto,CA
12,Southern Methodist University,US
13,University of California Davis,US
14,University of Pennsylvania,US
15,Tecnologico de Monterrey,MX
16,Monash University,AU
17,University of Wisconsin-Madison,US
18,University of Minnesota,US
19,University of Southern California,US
20,Georgia Institute of Technology,US
21,University of Oregon,US
22,Washington University,US
23,University of Western Australia,AU
